#{"t_start": 1553778721.2222703, "env_id": "Snake-v0"}
r,l,t
-10,350,1503.673706
20,184,1510.508018
20,253,1517.816762
-10,2,1517.829952
0,115,1518.524108
-10,549,1535.325499
-10,15,1535.413738
-10,134,1539.234385
0,61,1539.605814
-10,293,1549.756426
-10,86,1550.280002
-10,14,1550.418549
-10,37,1553.327167
-10,151,1557.113924
0,577,1571.769689
-10,121,1576.246061
0,954,1604.075801
-10,22,1604.228459
0,236,1611.250063
-10,92,1614.57956
-10,240,1618.720345
-10,265,1625.680389
0,275,1635.43817
0,155,1639.190918
30,48,1639.50949
30,97,1643.098866
20,907,1667.34705
-10,4,1667.372265
20,431,1677.736838
30,1017,1704.825166
10,65,1707.826141
-10,10,1707.917792
-10,10,1707.978547
-10,6,1708.014424
30,186,1714.462636
0,483,1725.112084
20,119,1728.436485
0,374,1738.408659
-10,158,1741.908452
-10,4,1741.930198
-10,2,1741.943264
0,511,1755.474636
10,50,1758.371907
0,970,1782.263587
20,202,1788.817535
-10,314,1796.195809
20,255,1803.115524
0,49,1806.003706
0,92,1809.109219
0,567,1823.086274
-10,551,1837.041728
0,591,1853.931909
-10,146,1857.653696
-10,529,1871.179468
-10,603,1887.508361
20,64,1888.097924
20,66,1890.96829
-10,464,1903.448334
-10,259,1910.036396
-10,3,1910.0601
-10,181,1914.072895
10,140,1917.377982
20,103,1920.350698
-10,143,1923.767883
50,283,1930.510679
-10,23,1930.726735
30,90,1933.642733
-10,11,1933.734087
-10,214,1939.868154
0,184,1943.532443
10,83,1946.34037
-10,3,1946.371317
-10,10,1946.476891
30,147,1949.928105
-10,170,1955.563102
0,7,1955.603214
10,408,1965.490549
-10,2,1965.502161
-10,6,1965.561306
0,75,1966.288154
-10,855,1988.848351
0,100,1992.421288
0,266,1999.0274
0,728,2018.507376
0,463,2031.190491
30,67,2031.70552
-10,260,2038.305157
-10,659,2055.120832
-10,36,2057.596328
0,98,2058.422759
-10,14,2060.778332
-10,20,2060.89732
20,60,2061.360587
-10,866,2084.116833
-10,9,2084.201414
20,162,2087.862597
-10,3,2087.883024
-10,2,2087.902177
10,23,2088.129629
10,173,2093.843178
-10,14,2093.928851
20,344,2103.58422
20,260,2110.179324
-10,5,2110.206903
-10,3,2110.226532
-10,19,2110.342265
0,30,2110.560478
20,33,2110.849272
-10,943,2136.55259
20,46,2136.834392
30,77,2139.835197
-10,3,2139.853745
-10,3,2139.874578
0,36,2140.093747
0,46,2140.421015
-10,525,2154.397326
-10,1099,2183.716377
-10,21,2183.841352
-10,7,2183.883368
10,75,2186.861462
-10,41,2187.104376
-10,42,2189.913918
30,265,2196.55373
20,55,2196.879561
-10,41,2197.136116
-10,21,2197.356417
-10,1,2197.364652
20,484,2210.266027
0,531,2224.256763
50,324,2233.862125
0,7,2233.904369
50,95,2237.069642
-10,168,2240.731366
-10,8,2240.775122
30,131,2244.118207
30,217,2250.81705
10,355,2260.928558
50,285,2267.905506
0,9,2267.9589
-10,5,2267.990182
-10,1,2267.996854
-10,10,2268.054832
0,19,2268.171665
-10,16,2268.269309
-10,301,2277.50461
-10,80,2278.058836
0,86,2281.126678
-10,117,2284.364357
-10,2,2284.376577
-10,9,2284.429914
0,6,2284.466886
0,189,2288.141602
50,107,2291.331772
10,38,2294.15735
-10,70,2294.681301
30,126,2298.050202
40,155,2301.617735
-10,27,2304.127875
0,45,2304.511166
-10,1,2304.527909
10,36,2304.817961
0,879,2328.802517
20,304,2336.366592
20,93,2339.530417
-10,2249,2399.964727
-10,118,2403.214576
-10,12,2403.325634
-10,7,2403.385338
-10,9,2403.473212
10,76,2404.19067
-10,304,2415.535038
10,835,2437.611236
0,159,2443.474887
-10,489,2454.658268
-10,9,2457.645844
0,5,2457.692574
0,10,2457.802302
20,236,2462.713182
10,628,2480.148669
10,130,2483.564813
-10,15,2486.042608
-10,666,2503.731621
-10,1,2503.744469
-10,18,2503.908024
0,108,2507.272349
10,20,2507.409279
20,110,2510.715379
-10,1,2510.722587
-10,5,2510.753557
20,281,2517.82625
0,521,2531.018102
-10,1,2531.026262
-10,10,2531.124832
0,100,2534.042933
-10,27,2534.279983
0,90,2537.257063
-10,3,2537.276825
0,23,2537.434903
30,358,2547.128967
-10,18,2547.245595
0,30,2547.5258
-10,2,2547.543406
10,36,2547.881251
0,21,2550.285739
0,37,2550.520995
-10,379,2560.266395
0,111,2563.492111
-10,4,2563.5145
0,255,2570.037148
10,341,2577.369375
-10,11,2579.748597
-10,3,2579.76994
-10,1,2579.776533
-10,14,2579.863123
0,35,2580.077352
20,58,2580.538994
-10,234,2586.801028
10,122,2590.076165
-10,1469,2631.660646
0,9,2631.715308
40,550,2666.415693
0,569,2680.325225
50,287,2687.345851
20,316,2696.877701
-10,4,2696.901618
10,38,2697.132075
0,142,2700.496535
10,62,2703.477852
10,1043,2731.816065
10,155,2735.44828
10,98,2738.951395
-10,34,2739.168104
-10,207,2747.518793
40,80,2751.136015
-10,713,2769.442876
30,324,2779.024479
0,21,2779.150277
0,314,2786.111913
0,140,2789.459297
20,97,2792.579928
-10,590,2808.642978
80,185,2812.389264
20,190,2818.496694
-10,40,2818.868346
-10,11,2818.933654
-10,278,2825.570353
20,302,2834.53674
0,105,2835.512351
-10,1,2835.518268
30,487,2848.409044
-10,395,2858.605854
-10,475,2872.411821
-10,302,2880.20456
0,1326,2916.735713
-10,45,2917.142018
10,259,2924.045287
0,455,2938.21176
10,114,2941.520469
-10,20,2941.738464
-10,367,2952.134683
-10,322,2959.509707
-10,9,2959.595149
-10,14,2959.735729
-10,46,2962.249085
-10,29,2962.555175
0,207,2966.645259
0,79,2969.564636
10,107,2972.689374
-10,106,2976.044944
-10,99,2976.954309
0,262,2986.16015
-10,144,2989.561143
30,704,3007.006438
-10,9,3007.069196
-10,1,3007.077106
0,37,3009.823199
0,120,3010.767822
10,412,3023.50539
10,78,3024.061203
-10,13,3024.19701
10,276,3034.299113
20,69,3034.881554
0,684,3053.441297
0,186,3059.565331
0,17,3059.692349
-10,2071,3114.192379
0,114,3117.406517
-10,47,3117.690387
0,107,3120.941594
-10,75,3124.130586
0,104,3127.426978
-10,9,3127.486688
10,179,3131.312783
-10,223,3137.735066
-10,10,3137.79612
-10,417,3148.06574
-10,2,3148.077832
-10,8,3148.132556
0,165,3154.274093
0,70,3154.754635
20,62,3157.71812
-10,7,3157.798049
-10,1051,3185.438027
0,44,3185.761275
0,78,3188.743547
10,64,3189.274115
-10,290,3198.503538
0,703,3215.825224
0,143,3219.761409
-10,8,3219.838135
-10,1,3219.849048
10,252,3226.533773
-10,21,3226.75046
-10,222,3233.486843
0,29,3233.751309
-10,1,3233.75786
30,216,3239.820584
10,59,3242.42643
-10,917,3266.12851
-10,2,3266.146892
10,476,3277.73906
30,729,3300.262338
10,53,3303.391934
20,85,3304.220203
-10,268,3313.606452
0,85,3317.216413
0,65,3317.864421
0,129,3321.275098
0,29,3323.614574
0,187,3330.424489
-10,6,3330.477305
-10,103,3333.568224
0,94,3336.625432
60,326,3343.874495
40,364,3353.789259
10,178,3357.772729
50,426,3371.630043
-10,1,3371.635556
10,55,3371.994832
-10,417,3382.212128
-10,875,3406.686502
0,13,3406.821479
-10,19,3407.028334
10,129,3410.558143
-10,438,3424.424384
-10,48,3424.918559
0,22,3425.14819
20,203,3432.881399
0,52,3433.464561
-10,514,3448.528953
10,164,3456.823755
20,233,3463.967074
0,141,3467.418258
-10,18,3467.527224
20,198,3471.498675
20,173,3479.924295
-10,8,3479.988385
-10,45,3480.381533
-10,25,3480.643966
10,41,3483.661435
0,26,3483.837638
40,260,3490.77156
30,228,3498.222326
10,290,3506.411448
-10,231,3513.009811
-10,13,3513.088188
-10,12,3513.159367
0,39,3513.434289
10,329,3523.000149
0,19,3523.110845
10,21,3523.240652
-10,5,3523.271116
0,32,3523.498484
0,54,3526.306363
0,132,3529.658639
-10,1,3529.663778
0,139,3533.05881
50,154,3536.681367
-10,9,3536.734487
40,187,3543.521614
30,90,3544.0567
30,172,3550.287786
0,51,3550.591398
0,127,3553.955406
0,439,3564.541148
0,142,3570.649915
0,42,3570.905083
10,227,3577.427863
10,53,3577.745185
20,39,3577.978617
-10,7,3578.022894
10,93,3581.15692
0,41,3583.964517
20,133,3587.344447
50,228,3591.279072
0,30,3593.981387
20,31,3594.197525
-10,270,3601.026344
40,141,3604.554745
0,11,3604.62614
10,88,3607.814155
10,57,3608.166661
60,169,3614.829822
40,440,3625.641656
30,287,3633.028367
-10,29,3633.204395
20,178,3641.332261
-10,1011,3669.447184
-10,45,3669.738817
0,17,3669.857195
-10,1,3669.86202
30,392,3680.500881
-10,30,3683.414815
-10,24,3683.609603
-10,34,3683.807925
20,133,3687.868123
10,63,3691.344557
-10,16,3691.502051
30,188,3695.49589
-10,150,3699.445024
-10,3,3699.469873
-10,62,3703.208305
10,579,3719.61259
-10,1,3719.620535
0,54,3722.549722
30,156,3726.839038
20,96,3731.244007
20,71,3732.015106
0,21,3732.235014
0,52,3735.381402
-10,27,3735.650452
0,106,3738.693973
20,29,3738.997714
20,70,3741.771189
-10,31,3742.050487
0,139,3745.378001
0,21,3745.605912
60,246,3752.006992
-10,4,3752.041039
10,18,3752.211011
40,573,3767.936725
-10,12,3768.0586
0,147,3771.524835
-10,12,3771.647272
-10,25,3771.88043
10,28,3772.138576
70,278,3780.915342
100,296,3787.685243
-10,25,3787.927814
0,48,3790.642972
0,13,3790.720248
70,176,3794.383432
0,31,3794.659312
-10,7,3794.726391
10,60,3797.416734
10,740,3819.620537
30,120,3823.065705
0,34,3823.299901
20,180,3827.266138
0,87,3830.446616
50,168,3834.165342
-10,26,3834.428696
30,73,3837.447497
0,296,3844.838077
-10,1,3844.85307
-10,332,3855.759521
20,279,3864.668956
40,800,3885.603826
-10,1,3885.609755
-10,80,3889.53687
30,48,3890.042705
-10,10,3890.138855
60,264,3897.691969
-10,28,3900.254255
20,100,3901.092944
30,468,3914.295846
0,281,3921.285414
20,88,3924.52068
50,212,3931.607311
60,249,3938.742489
50,132,3942.425039
40,266,3949.201913
20,137,3952.680133
50,239,3959.204312
0,88,3959.729623
-10,32,3962.473248
0,17,3962.576444
20,251,3969.186154
50,67,3969.584932
70,280,3976.947328
70,219,3983.903103
70,235,3990.702686
10,519,4005.249229
70,202,4012.9291
0,32,4013.126862
50,253,4020.054794
0,61,4023.947838
50,87,4027.226787
-10,691,4044.820805
60,349,4055.217149
20,358,4065.574891
0,43,4065.851016
40,159,4069.644487
10,116,4072.913367
10,328,4082.324816
30,83,4082.905809
40,107,4086.047957
50,751,4105.633131
60,266,4112.224212
-10,449,4124.583453
0,122,4127.784515
0,22,4127.985814
90,477,4138.415623
0,19,4140.685002
130,210,4144.574855
-10,686,4163.085574
70,462,4173.445976
10,33,4173.780422
0,19,4176.130406
0,207,4180.056451
10,32,4180.379094
10,260,4186.887763
0,48,4189.374078
0,514,4202.425929
-10,7,4202.467667
10,52,4202.93415
10,33,4205.493727
-10,11,4205.55936
-10,2254,4261.958703
20,60,4264.763291
80,397,4274.641629
40,86,4277.72716
30,156,4281.185559
-10,24,4281.332527
10,127,4284.598008
40,636,4301.068075
60,77,4301.60437
30,65,4304.388442
0,7,4304.426807
80,114,4307.627057
30,304,4314.551047
40,86,4317.546793
-10,8,4317.593013
-10,4,4317.616943
10,902,4342.011445
50,378,4352.15929
50,211,4358.487166
60,183,4362.121548
10,30,4362.300328
60,197,4368.522002
0,114,4371.694206
60,231,4378.116116
20,183,4381.746239
10,42,4382.000974
20,69,4384.981255
-10,549,4398.352278
50,177,4404.266719
20,58,4404.759418
10,53,4405.075185
80,249,4411.607985
70,65,4414.449221
50,237,4420.725404
80,349,4427.979928
70,336,4437.207692
70,262,4443.843337
20,352,4453.166383
60,144,4456.433028
-10,20,4456.629563
70,138,4459.925307
0,150,4463.392188
-10,30,4465.704094
10,24,4465.94439
20,58,4466.50405
-10,29,4468.753313
50,698,4485.476663
10,34,4485.80466
40,100,4488.782739
0,37,4489.10469
10,71,4491.852715
30,84,4494.679595
90,205,4498.651531
-10,16,4498.801539
40,159,4504.421965
-10,3,4504.448243
10,36,4504.776302
10,335,4512.087261
70,202,4518.071756
-10,12,4518.200977
-10,9,4518.28269
30,160,4521.772991
-10,14,4523.966451
70,170,4527.584661
0,28,4527.873815
70,182,4533.626844
60,516,4546.668286
100,116,4547.724743
-10,1293,4582.549327
-10,13,4582.62286
-10,41,4582.963618
0,34,4583.256063
20,70,4586.00274
10,640,4602.300128
0,38,4602.62519
0,50,4603.129323
60,375,4612.896618
0,69,4615.577965
-10,8,4615.634249
10,61,4616.238556
40,344,4625.654718
50,228,4631.974255
60,184,4635.736853
0,14,4664.617847
-10,67,4665.031327
-10,1,4665.041315
-10,9,4665.116423
30,76,4668.027712
0,9,4668.080818
30,52,4668.437256
50,119,4671.634146
60,219,4677.988981
50,77,4680.983025
0,23,4681.124859
30,277,4687.82442
0,27,4687.985453
0,99,4691.126961
-10,10,4691.186595
-10,9,4691.241076
0,99,4694.368732
40,251,4700.94932
30,112,4704.171809
-10,10,4704.225204
80,241,4710.722923
0,277,4717.463146
20,64,4717.844419
50,96,4720.965747
0,258,4727.581893
0,32,4727.775196
40,77,4730.789238
0,24,4730.936383
40,158,4734.433702
110,235,4740.909647
-10,396,4750.876427
10,43,4753.582081
-10,1,4753.587643
10,272,4760.370558
0,34,4760.589017
0,52,4760.901423
10,89,4764.029458
-10,9,4764.082223
-10,4,4764.107205
0,12,4764.179489
-10,6,4764.212883
70,211,4770.577287
-10,29,4770.754548
0,13,4770.833965
20,125,4774.135957
0,21,4774.259424
-10,174,4780.362389
0,44,4780.620003
10,33,4780.817363
0,14,4780.900886
50,139,4786.757986
20,53,4787.125844
-10,19,4787.242121
10,49,4787.538322
-10,18,4790.146684
-10,16,4790.262604
20,92,4790.816313
0,47,4793.664436
20,35,4793.871613
30,87,4796.945604
10,56,4797.274882
10,78,4800.318191
-10,19,4800.431985
-10,23,4800.572805
60,291,4807.432046
20,90,4810.530782
30,620,4826.905353
0,25,4827.054139
10,26,4827.209975
20,90,4830.343689
0,38,4830.576096
50,544,4846.509157
-10,237,4850.460947
0,5,4852.992236
-10,2,4853.011832
20,70,4853.447767
50,75,4856.437483
100,221,4860.31599
-10,24,4863.001275
0,28,4863.183104
50,95,4866.235237
40,67,4866.681715
0,24,4866.829836
0,17,4866.93389
10,60,4869.839194
50,184,4873.4832
-10,20,4873.599906
10,43,4876.377681
-10,41,4876.619455
0,31,4876.809236
80,184,4882.992124
0,11,4883.059131
20,46,4883.33899
