#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
r,l,t
-0.2,16,72.803664
-10.8,29,72.926179
0.1,25,73.030814
-10.4,13,73.091069
-10,1,73.095045
-10.4,7,73.123121
-10.1,2,73.13186
-10.1,2,73.140701
-9.6,21,73.225958
-9.8,3,73.238925
-10.2,3,73.25-9.6,49,74.886161
-10.1,2,74.894935
-9.9,8,-0.2,30,74.962182
-10.1,2,74.971431
-10.3,20,-9.9,100,75.364031
-0.5,45,76.910586
-11.0,15,76.972278
-10.1,2,76.-11.1,74,77.057585
-10.9,1-10.9,58,77.249488
-10,1,77.254298
-10.6,19,78.921164
-10.1,14,78.979671
-10.1,2,78-10.5,36,79.045244
-10.2,3,-10.3,20,79-0.5,33,79.198002
-10.0,13,79.258602
-10.9,20,79.345193
-9.7,68,81.110066
-9.1,54,81.335071
-10.2,3,81.349054
-10,1,81.353504
-10,1,81.35772
-10.6,73,83.090585
-10.3,28,83.210489
-10.2,3,83.224684
-10.4,21,83.316648
0.5,49,84.902825
-9.9,8,84.944735
-10.1,6,84.969484
-10.5,30,85.094041
-10.0,29,85.21688
-9.9,14,85.277328
-9.7,4,85.293681
-10,1,85.298517
-10.1,2,85.311117
-11.0,19,86.823932
-10.7,46,87.023125
-10.3,4,87.041141
0.0,8,87.075986
-10.2,11,87.122975
-10.1,2,87.133289
-10.2,3,87.145911
-10.2,27,87.261914
-10.1,2,87.270683
-10.2,3,87.283513
-10.-10.8,73,88.930289
-10.1,44,89.128367
-9.9,22,89.225084
-10.4,59,90.896116
-10.2,3,90.910107
-10.6,51,91.125284
10.6,43,92.698834
-9.6,9,92.738325
-10.3,26,92.847542
-10.5,68,93.125599
-10.4,21,94.580553
-10.5,24,94.680568
-9.4,23,94.775064
-10.7,8,94.809085
0.5,15,94.870818
-10.0,5,94.891081
-10.5,10,94.932194
-0.2,28,95.047596
-10.1,2,95.055698
-10.7,16,96.473879
-9.8,45,96.662298
-10.2,3,96.674581
-10,1,96.679304
-0.2,6,96.703774
-10.4,11,96.747888
--10.2,37,96.779875
-10.1,50,98.335569
-10.7,16,98.40305
-9.8,7,98.43432-10.3,54,98.455021
-1-11.1,68,98.718759
-9.9,50,100.270783
-0.1,3,100.283144
-10.0,51,100.493551
-9.6,27,100.608956
-10.2,7,100.637552
-10.5,20,102.066771
-9.9,12,102.11966
-10,1,102.124254
-10.3,28,102.-0.6,90,102.459072
-10.2,29,102.579844
-11.0,15,103.991938
11.3,70,104.283637
-10.1,2,104.291916
-10.5,26,104.405118
-0.1,57,105.996531
-10.3,6,106.022554
-10.6,23,106.117986
0.8,26,106.22362
-10.3,14,106.282795
-10.9,28,107.83493
0.2,30,108.005458
-9.8,5,108.039425
-10.2,3,108.055348
-10.6,33,108.229958
-10.3,4,108.25285
0.0,26,108.364001
-10.5,8,108.39737
-0.3,67,110.412613
-10.1,44,110.683495
0.4,24,110.881824
0.6,40,112.874322
-10.6,13,112.930087
0.0,62,113.23689
-10,1,113.241625
-10.2,59,114.975042
1.0,86,115.498909
-10,1,115.504169
-10.2,3,117.435811
-9.9,2,117.450563
0.1,41,117.679151
-10.3,18,117.770359
-10.4,75,120.33023
-10.5,6,120.366412
-9.9,6,120.410567
-10.3,56,120.840957
-10.4,27,121.014147
-10,1,121.02002
-9.6,17,121.119842
